id,name,gender
1,George Lucas,2
3,Harrison Ford,2
7,Andrew Stanton,2
8,Lee Unkrich,2
9,Graham Walters,2
10,Bob Peterson,2
11,David Reynolds,2
13,Albert Brooks,2
24,Robert Zemeckis,2
26,Winston Groom,2
27,Eric Roth,2
28,Wendy Finerman,1
29,Steve Tisch,2
30,Steve Starkey,2
31,Tom Hanks,2
33,Gary Sinise,2
36,Don Burgess,2
37,Alan Silvestri,2
38,Arthur Schmidt,2
39,Sam Mendes,2
40,Orson Welles,2
42,Lars von Trier,2
47,Björk,1
59,Luc Besson,2
60,Patrice Ledoux,2
61,Robert Mark Kamen,2
62,Bruce Willis,2
66,Chris Tucker,2
67,Erich Pommer,2
68,Fritz Lang,2
69,Gottfried Huppertz,0
70,Karl Freund,2
71,Günther Rittau,2
85,Johnny Depp,2
90,Isabel Coixet,1
93,Esther García,1
96,Gordon McLennan,0
97,Nanci Kincaid,0
104,Jean-Claude Larrieu,2
105,Lisa Robison,1
106,Alfonso Vilallonga,0
108,Peter Jackson,2
110,Viggo Mortensen,2
117,Howard Shore,2
118,Geoffrey Rush,2
120,Dariusz Wolski,2
122,Klaus Badelt,2
123,Barrie M. Osborne,2
126,Fran Walsh,1
128,Philippa Boyens,1
129,J.R.R. Tolkien,2
131,Jake Gyllenhaal,2
135,Bobby Cohen,2
136,Sam Mercer,2
138,Quentin Tarantino,2
139,Uma Thurman,1
142,William Broyles Jr.,2
148,Anthony Swofford,2
149,Robert Richardson,2
150,RZA,2
151,Roger Deakins,2
152,Jim Morrison,0
153,Thomas Newman,2
154,Walter Murch,2
156,Sally Menke,1
157,Thea von Harbou,1
160,Eytan Fox,2
162,Gal Uchovsky,0
172,Michael Winterbottom,2
173,Andrew Eaton,0
179,Marcel Zyskind,2
185,Katsuhiro Ōtomo,2
190,Clint Eastwood,2
192,Morgan Freeman,2
195,Lennie Niehaus,2
197,David Silverman,2
201,Michel Gondry,2
202,Charlie Kaufman,2
206,Jim Carrey,2
212,David Cross,2
213,Gerry Robert Byrne,2
222,Pierre Bismuth,0
223,Alejandro González Iñárritu,2
224,David Cronenberg,2
228,Ed Harris,2
239,Jon Vitti,2
240,Stanley Kubrick,2
241,Arthur C. Clarke,2
243,Geoffrey Unsworth,2
244,Ray Lovejoy,2
254,H.L. Bird,0
255,Winston Ryder,0
257,Victor Lyndon,0
273,Guillermo Arriaga,2
275,Rodrigo Prieto,2
276,Luis Carballar,2
277,Fernando Pérez Unda,2
278,Gustavo Santaolalla,2
279,Antonio Vega,0
280,Terry Gilliam,2
282,Charles Roven,0
283,Robert Cavallo,2
284,Gary Levinsohn,2
286,Lloyd Phillips,2
287,Brad Pitt,2
293,Roger Pratt,2
294,Mick Audsley,2
296,Robin Clarke,2
297,Jay Meagher,0
298,Chris Bender,2
305,Josh Olson,0
306,John Wagner,2
307,Peter Suschitzky,2
309,Pedro Almodóvar,2
310,Ronald Sanders,2
312,Jon Brion,2
313,Ellen Kuras,1
321,Anthony Bregman,2
322,Steve Golin,2
323,Curtis Hanson,2
324,Scott Silver,2
329,Carol Fenelon,1
330,Jay Rabinowitz,2
331,Craig Kitson,2
339,Brian Grazer,2
340,Jimmy Iovine,2
347,Tom Rooker,2
348,William Goldman,2
355,David Baldacci,0
356,Jack Green,2
366,James Mangold,2
368,Reese Witherspoon,1
369,Henry Bumstead,2
370,Jack G. Taylor Jr.,0
371,Bill Coe,2
372,Tom Stoppard,2
373,Doug Jackson,2
374,Charles McKeown,0
375,Bub Asman,0
376,Arnon Milchan,2
377,Patrick Cassavetti,2
379,Donald Harris,0
380,Robert De Niro,2
382,Bob Hoskins,2
383,Michael Palin,2
384,Joel Cox,2
390,Irene Lamb,1
391,Norman Garwood,2
393,Rodney Glenn,0
394,Bob Doyle,0
403,Javier Aguirresarobe,2
405,Alberto Iglesias,2
407,Gill Dennis,2
408,James Keach,2
409,Cathy Konrad,1
410,John Carter Cash,2
413,José Salcedo,2
414,Alan C. Blomquist,2
423,Phyllis Huffman,1
432,Phedon Papamichael,2
433,Michael McCusker,2
434,Lisa Beach,1
436,Sarah Katzman,1
437,David J. Bomba,2
448,Hilary Swank,1
